,,,,,,,,
,,,,,ZipCode,Forecast_Month,Forecast_Rent,Volatility
,,,,,2886,9,2258.3,18.11
,,,,,2886,12,2279.2,18.11
,,,,,2891,3,2078.5,26.76
,,,,,2891,6,2073.26,26.76
,,,,,2891,9,2144.96,26.76
,,,,,2891,12,2167.43,26.76
,,,,,2893,3,1825.95,8.27
,,,,,2893,6,1894.18,8.27
,,,,,2893,9,1923.19,8.27
,,,,,2893,12,1965.11,8.27
,,,,,2895,3,1585.17,9.83
,,,,,2895,6,1599.03,9.83
,,,,,2895,9,1612.98,9.83
,,,,,2895,12,1644.91,9.83
,,,,,2903,3,2363.87,16.48
,,,,,2903,6,2387.54,16.48
,,,,,2903,9,2439,16.48
,,,,,2903,12,2476.03,16.48
,,,,,2904,3,1799.88,11.44
,,,,,2904,6,1825.81,11.44
,,,,,2904,9,1850.37,11.44
,,,,,2904,12,1868.71,11.44
,,,,,2905,3,1903.54,30.12
,,,,,2905,6,1921.18,30.12
,,,,,2905,9,1968.69,30.12
,,,,,2905,12,2016.3,30.12
,,,,,2906,3,2428.13,17.15
,,,,,2906,6,2445.83,17.15
,,,,,2906,9,2473.85,17.15
,,,,,2906,12,2518.32,17.15
,,,,,2907,3,1696.99,19.86
,,,,,2907,6,1703.51,19.86
,,,,,2907,9,1734.9,19.86
,,,,,2907,12,1703.19,19.86
,,,,,2908,3,2200.59,11.76
,,,,,2908,6,2214.45,11.76
,,,,,2908,9,2244.65,11.76
,,,,,2908,12,2263.3,11.76
,,,,,2909,3,1975.73,6.01
,,,,,2909,6,1998.41,6.01
,,,,,2909,9,2028.15,6.01
,,,,,2909,12,2062.1,6.01
,,,,,2915,3,2111.12,28.79
,,,,,2915,6,2122.84,28.79
,,,,,2915,9,2131.6,28.79
,,,,,2915,12,2131.11,28.79
,,,,,3038,3,2109.4,24.18
,,,,,3038,6,2146.43,24.18
,,,,,3038,9,2144.94,24.18
,,,,,3038,12,2144.35,24.18
,,,,,3054,3,2478.72,20.44
,,,,,3054,6,2482.66,20.44
,,,,,3054,9,2519.29,20.44
,,,,,3054,12,2521.77,20.44
,,,,,3060,3,2062.24,14.11
,,,,,3060,6,2084.39,14.11
,,,,,3060,9,2074.45,14.11
,,,,,3060,12,2067.12,14.11
,,,,,3062,3,2515.33,23.55
,,,,,3062,6,2520.74,23.55
,,,,,3062,9,2564.24,23.55
,,,,,3062,12,2635.33,23.55
,,,,,3063,3,2124.74,0
,,,,,3063,6,2124.74,0
,,,,,3063,9,2124.74,0
,,,,,3063,12,2124.74,0
,,,,,3079,3,2734.56,13.2
,,,,,3079,6,2741.5,13.2
,,,,,3079,9,2756.54,13.2
,,,,,3079,12,2780.9,13.2
,,,,,3101,3,2125.38,16.94
,,,,,3101,6,2111.41,16.94
,,,,,3101,9,2159.72,16.94
,,,,,3101,12,2093.65,16.94
,,,,,3102,3,2049.48,10.65
,,,,,3102,6,2076.84,10.65
,,,,,3102,9,2101.82,10.65
,,,,,3102,12,2122.2,10.65
,,,,,3103,3,1821.46,14.47
,,,,,3103,6,1854,14.47
,,,,,3103,9,1867.55,14.47
,,,,,3103,12,1880.57,14.47
,,,,,3104,3,1885.63,18.56
,,,,,3104,6,1910.91,18.56
,,,,,3104,9,1910.83,18.56
,,,,,3104,12,1933.1,18.56
,,,,,3301,3,2011.48,17.91
,,,,,3301,6,2040.52,17.91
,,,,,3301,9,2054.99,17.91
,,,,,3301,12,2089.28,17.91
,,,,,3431,3,1652.86,17.52
,,,,,3431,6,1647.22,17.52
,,,,,3431,9,1660.76,17.52
,,,,,3431,12,1684.14,17.52
,,,,,3801,3,2778.07,21.09
,,,,,3801,6,2833.66,21.09
,,,,,3801,9,2885.29,21.09
,,,,,3801,12,2933.64,21.09
,,,,,3820,3,2190.65,16.37
,,,,,3820,6,2214.85,16.37
,,,,,3820,9,2249.31,16.37
,,,,,3820,12,2273.28,16.37
,,,,,3867,3,1792.87,21.68
,,,,,3867,6,1843.26,21.68
,,,,,3867,9,1843.87,21.68
,,,,,3867,12,1879.2,21.68
,,,,,4005,3,1663.62,27.78
,,,,,4005,6,1711.89,27.78
,,,,,4005,9,1731.17,27.78
,,,,,4005,12,1743.03,27.78
,,,,,4074,3,2473.93,29.83
,,,,,4074,6,2474.28,29.83
,,,,,4074,9,2474.29,29.83
,,,,,4074,12,2466.1,29.83
,,,,,4092,3,2132.99,13.3
,,,,,4092,6,2156.8,13.3
,,,,,4092,9,2202.5,13.3
,,,,,4092,12,2209.13,13.3
,,,,,4101,3,2407.97,10.54
,,,,,4101,6,2439.63,10.54
,,,,,4101,9,2467.94,10.54
,,,,,4101,12,2487.64,10.54
,,,,,4102,3,2271.16,14.62
,,,,,4102,6,2279.1,14.62
,,,,,4102,9,2293.26,14.62
,,,,,4102,12,2315.71,14.62
,,,,,4103,3,2452.93,26.48
,,,,,4103,6,2496.64,26.48
,,,,,4103,9,2489.14,26.48
,,,,,4103,12,2507.72,26.48
,,,,,4106,3,2428.49,17.66
,,,,,4106,6,2457.91,17.66
,,,,,4106,9,2493.66,17.66
,,,,,4106,12,2471.11,17.66
,,,,,4240,3,1481.91,9.91
,,,,,4240,6,1515.05,9.91
,,,,,4240,9,1585.01,9.91
,,,,,4240,12,1600.02,9.91
,,,,,4330,3,1431.26,17.11
,,,,,4330,6,1428.63,17.11
,,,,,4330,9,1441.2,17.11
,,,,,4330,12,1450.68,17.11
,,,,,4401,3,1467.71,11.74
,,,,,4401,6,1487.16,11.74
,,,,,4401,9,1495.61,11.74
,,,,,4401,12,1501.95,11.74
,,,,,4901,3,1278.55,19.68
,,,,,4901,6,1253.6,19.68
,,,,,4901,9,1277.5,19.68
,,,,,4901,12,1273.62,19.68
,,,,,5401,3,2664.74,9.49
,,,,,5401,6,2703.34,9.49
,,,,,5401,9,2723.26,9.49
,,,,,5401,12,2733.04,9.49
,,,,,5403,3,2699.68,51.91
,,,,,5403,6,2807.7,51.91
,,,,,5403,9,2899.72,51.91
,,,,,5403,12,2842.07,51.91
,,,,,6002,3,2457.33,21.16
,,,,,6002,6,2508.25,21.16
,,,,,6002,9,2527.87,21.16
,,,,,6002,12,2552.43,21.16
,,,,,6010,3,1530.02,8.28
,,,,,6010,6,1536.97,8.28
,,,,,6010,9,1545.47,8.28
,,,,,6010,12,1550.89,8.28
,,,,,6032,3,2629.53,25.13
,,,,,6032,6,2661.1,25.13
,,,,,6032,9,2730.89,25.13
,,,,,6032,12,2736.91,25.13
,,,,,6033,3,2440.52,27.25
,,,,,6033,6,2465.38,27.25
,,,,,6033,9,2493.9,27.25
,,,,,6033,12,2533.92,27.25
,,,,,6040,3,1715.67,12.8
,,,,,6040,6,1716.76,12.8
,,,,,6040,9,1755.02,12.8
,,,,,6040,12,1803.82,12.8
,,,,,6042,3,2152.23,13.19
,,,,,6042,6,2171.37,13.19
,,,,,6042,9,2229.4,13.19
,,,,,6042,12,2267.39,13.19
,,,,,6051,3,1399.45,9.28
,,,,,6051,6,1410.84,9.28
,,,,,6051,9,1427.69,9.28
,,,,,6051,12,1436.55,9.28
,,,,,6053,3,1437.49,12.56
,,,,,6053,6,1459.98,12.56
,,,,,6053,9,1480.29,12.56
,,,,,6053,12,1495.8,12.56
,,,,,6067,3,1740.02,9.97
,,,,,6067,6,1759.62,9.97
,,,,,6067,9,1762.18,9.97
,,,,,6067,12,1765.43,9.97
,,,,,6074,3,2301.33,25.23
,,,,,6074,6,2450.32,25.23
,,,,,6074,9,2463.1,25.23
,,,,,6074,12,2539.34,25.23
,,,,,6082,3,1915.62,25.34
,,,,,6082,6,1929.83,25.34
,,,,,6082,9,1998.28,25.34
,,,,,6082,12,2031.13,25.34
,,,,,6105,3,1515.12,33.25
,,,,,6105,6,1538.2,33.25
,,,,,6105,9,1639.64,33.25
,,,,,6105,12,1607.03,33.25
,,,,,6106,3,1669.07,10.35
,,,,,6106,6,1720.12,10.35
,,,,,6106,9,1731.1,10.35
,,,,,6106,12,1760.36,10.35
,,,,,6114,3,1270.49,21.76
,,,,,6114,6,1368.72,21.76
,,,,,6114,9,1358.26,21.76
,,,,,6114,12,1419.15,21.76
,,,,,6119,3,1983.99,16.92
,,,,,6119,6,2009.09,16.92
,,,,,6119,9,2032.82,16.92
,,,,,6119,12,2060.46,16.92
,,,,,6320,3,1617.15,18.4
,,,,,6320,6,1655.29,18.4
